title,publisher,issn,issn_l,issns,date_removed,reason
Bio-Inoved: Jurnal Biologi-Inovasi Pendidikan,Unlam Press,2714-9803,2684-9062,2684-9062|2714-9803,2024-07-27,Journal not adhering to Best practice
School Education Journal PGSD FIP Unimed,State University of Medan,2407-4926,2355-1720,2355-1720|2407-4926,2024-07-27,Journal not adhering to Best practice
RISTI,AISTI,1646-9895,1646-9895,1646-9895|2183-0126,2024-07-26,Journal not adhering to Best practice
"Journal of Human Rights, Culture and Legal System",,2807-2812,2807-2812,2807-2812|2807-2979,2024-07-22,Journal not adhering to Best practice
Kaypunku,Grupo de Investigaci\u00f3n Kaypunku,2410-1923,2410-1923,2410-1923,2024-07-20,Journal not adhering to Best practice
\u0645\u062c\u0644\u0629 \u0627\u0644\u0645\u064a\u0627\u062f\u064a\u0646 \u0627\u0644\u0627\u0642\u062a\u0635\u0627\u062f\u064a\u0629,,2716-8565,2716-7615,2716-7615|2716-8565,2024-07-19,Website URL no longer works
Transdigital,,2683-328X,2683-328X,2683-328X,2024-07-19,Journal not adhering to Best practice
Revista Faccea,,2539-4703,1657-9658,1657-9658|2539-4703,2024-07-18,Journal not adhering to Best practice
Telematika,Q52637556,2442-4528,1979-925X,1979-925X|2442-4528,2024-07-17,Journal not adhering to Best practice
Revista Mosaicum,,1980-4180,1808-589X,1808-589X|1980-4180,2024-07-17,Website URL no longer works
Indonesian Journal of Sustainability Accounting and Management,Universitas Pasundan,2597-6222,2597-6214,2597-6214|2597-6222,2024-07-16,Website URL no longer works
Media Ekonomi,Trisakti University,2442-9686,2442-9686,2442-9686,2024-07-16,Website URL no longer works
Vidyottama Sanatana: International Journal of Hindu Science and Religious Studies,Institut Hindu Dharma Negeri Denpasar,2550-0651,2550-0643,2550-0643|2550-0651,2024-07-15,Website URL no longer works
Journal of Sports Medicine,Hindawi Publishing Corporation,2314-6176,2314-6176,2314-6176|2356-7651,2024-07-15,Ceased publishing
International Journal of Chronic Diseases,Hindawi Publishing Corporation,2314-5749,2314-5749,2314-5749|2356-6981,2024-07-15,Ceased publishing
Psychiatry Journal,Hindawi Publishing Corporation,2314-4335,2314-4327,2314-4327|2314-4335,2024-07-15,Ceased publishing
Journal of Addiction,Hindawi Publishing Corporation,2090-7850,2090-7850,2090-7834|2090-7850,2024-07-15,Ceased publishing
Education Research International,Hindawi Publishing Corporation,2090-4010,2090-4010,2090-4002|2090-4010,2024-07-15,Ceased publishing
Sleep Disorders,Hindawi Publishing Corporation,2090-3553,2090-3553,2090-3545|2090-3553,2024-07-15,Ceased publishing
Advances in Preventive Medicine,Hindawi Publishing Corporation,2090-3499,2090-3480,2090-3480|2090-3499,2024-07-15,Ceased publishing
Autism Research and Treatment,Hindawi Publishing Corporation,2090-1933,2090-1933,2090-1925|2090-1933,2024-07-15,Ceased publishing
International Journal of Otolaryngology,Hindawi Publishing Corporation,1687-921X,1687-9201,1687-9201|1687-921X,2024-07-15,Ceased publishing
BCES Conference Books,,2534-8426,1314-4693,1314-4693|2534-8426,2024-07-15,Website URL no longer works
Jurnal Akuntansi dan Bisnis,,2580-5444,1412-0852,1412-0852|2580-5444,2024-07-13,Journal not adhering to Best practice
IJEIS (Indonesian Journal of Electronics and Instrumentation Systems),Gadjah Mada University,2460-7681,2088-3714,2088-3714|2460-7681,2024-07-11,Journal not adhering to Best practice
Studies in the Maternal,Open Library of Humanities,1759-0434,1759-0434,1759-0434,2024-07-11,Inactive (has not published in the last calendar year)
Jurnal Kajian Ruang Sosial-Budaya,Brawijaya University,2597-7326,2597-7326,2597-7326,2024-07-09,Ceased publishing
Iberoamerican Journal of Project Management,National University of Mar del Plata,2346-9161,2346-9161,2346-9161,2024-07-09,Website URL no longer works
Pakistan Administrative Review,,2521-0203,2520-5463,2520-5463|2521-0203,2024-07-07,Website URL no longer works
Harvard Deusto Business Research,,2254-6235,2254-6235,2254-6235,2024-07-05,Website URL no longer works
Jurnal Lisania,Institut Agama Islam Negeri (IAIN) Salatiga,2580-1716,2580-1716,2580-1716|2614-4425,2024-07-02,Website URL no longer works
Strategic Public Management Journal,Strategic Public Management Journal,2149-9543,2149-9543,2149-9543,2024-07-02,Journal not adhering to Best practice
Kesmas: Jurnal Kesehatan Masyarakat Nasional,University of Indonesia,2460-0601,1907-7505,1907-7505|2460-0601,2024-07-02,Journal not adhering to Best practice
The Nucleus,,2306-6539,0029-5698,0029-5698|2306-6539,2024-07-02,Journal not adhering to Best practice
\u0645\u062c\u0644\u0629 \u0627\u0644\u0628\u0634\u0627\u0626\u0631 \u0627\u0644\u0627\u0642\u062a\u0635\u0627\u062f\u064a\u0629,,2600-6391,2600-6391,2437-0932|2600-6391,2024-07-01,Ceased publishing
"CEM: Cultura, Espa\u00e7o & Mem\u00f3ria",University of Porto,2182-1097,2182-1097,2182-1097|2182-9748,2024-06-29,Journal not adhering to Best practice
Revista Psicologia e Sa\u00fade,Universidade Cat\u00f3lica Dom Bosco,2177-093X,2177-093X,2177-093X,2024-06-29,Journal not adhering to Best practice
Estima,,2595-7007,1806-3144,1806-3144|2595-7007,2024-06-29,Journal not adhering to Best practice
"Archivos de Criminolog\u00eda, Seguridad Privada y Criminal\u00edstica",Sociedad Mexicana de Criminolog\u00eda cap\u00edtulo Nuevo Le\u00f3n,2007-2023,2007-2023,2007-2023,2024-06-28,Website URL no longer works
Rossijskij Vestnik Perinatologii i Pediatrii,Ltd. \u201cThe National Academy of Pediatric Science and Innovation\u201d,2500-2228,1027-4065,1027-4065|2500-2228,2024-06-28,Journal is no longer Open Access
\u0645\u062c\u0644\u0629 \u0628\u062d\u0648\u062b \u0627\u0644\u0627\u062f\u0627\u0631\u0629 \u0648\u0627\u0644\u0627\u0642\u062a\u0635\u0627\u062f,,2676-184X,2676-184X,2676-184X|2710-8856,2024-06-27,Journal not adhering to Best practice
\u0622\u0641\u0627\u0642 \u0644\u0644\u0639\u0644\u0648\u0645,,2507-7228,2507-7228,2507-7228|2602-5345,2024-06-27,Journal not adhering to Best practice
L\u00famina,Universidad de Manizales,2619-6174,0123-4072,0123-4072|2619-6174,2024-06-27,Website URL no longer works
Grand Journal of Urology,,2757-7163,2757-7163,2757-7163,2024-06-25,Journal not adhering to Best practice
International Journal of Applied Biology,Hasanuddin University,2580-2119,2580-2119,2580-2119,2024-06-25,Journal not adhering to Best practice
Jurnal Kependidikan,State Institute on Islamic Studies Purwokerto,2598-4845,2355-018X,2355-018X|2598-4845,2024-06-25,Journal not adhering to Best practice
JIM - Jornal de Investiga\u00e7\u00e3o M\u00e9dica,Eduardo Manuel de Almeida Leite,2184-7509,2184-7509,2184-7509,2024-06-24,Journal not adhering to Best practice
Heran\u00e7a,Eduardo Manuel de Almeida Leite,2184-3090,2184-3090,2184-3090,2024-06-24,Journal not adhering to Best practice
J2,Eduardo Manuel de Almeida Leite,2184-3082,2184-3082,2184-3082,2024-06-24,Journal not adhering to Best practice
E3,Eduardo Manuel de Almeida Leite,2183-380X,2183-380X,2183-380X|2183-7201,2024-06-24,Journal not adhering to Best practice
Human Figurations: Long-term Perspectives on the Human Condition,Michigan Publishing,2166-6644,2166-6644,2166-6644,2024-06-24,Ceased publishing
\u0413\u0435\u043e\u0433\u0440\u0430\u0444\u0438\u0447\u0435\u0441\u043a\u0430\u044f \u0441\u0440\u0435\u0434\u0430 \u0438 \u0436\u0438\u0432\u044b\u0435 \u0441\u0438\u0441\u0442\u0435\u043c\u044b,,2712-7621,2712-7613,2712-7613|2712-7621,2024-06-23,Website URL no longer works
\u0412\u0435\u0441\u0442\u043d\u0438\u043a \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0433\u043e\u0441\u0443\u0434\u0430\u0440\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0433\u043e \u043e\u0431\u043b\u0430\u0441\u0442\u043d\u043e\u0433\u043e \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0430. \u0421\u0435\u0440\u0438\u044f: \u0424\u0438\u043b\u043e\u0441\u043e\u0444\u0441\u043a\u0438\u0435 \u043d\u0430\u0443\u043a\u0438,,2310-7227,2072-8530,2072-8530|2310-7227,2024-06-23,Website URL no longer works
\u0412\u0435\u0441\u0442\u043d\u0438\u043a \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0433\u043e\u0441\u0443\u0434\u0430\u0440\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0433\u043e \u043e\u0431\u043b\u0430\u0441\u0442\u043d\u043e\u0433\u043e \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0430: \u0421\u0435\u0440\u0438\u044f: \u0420\u0443\u0441\u0441\u043a\u0430\u044f \u0444\u0438\u043b\u043e\u043b\u043e\u0433\u0438\u044f,,2310-7278,2072-8522,2072-8522|2310-7278,2024-06-23,Website URL no longer works
\u0412\u0435\u0441\u0442\u043d\u0438\u043a \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0433\u043e\u0441\u0443\u0434\u0430\u0440\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0433\u043e \u043e\u0431\u043b\u0430\u0441\u0442\u043d\u043e\u0433\u043e \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0430. \u0421\u0435\u0440\u0438\u044f: \u041f\u0441\u0438\u0445\u043e\u043b\u043e\u0433\u0438\u0447\u0435\u0441\u043a\u0438\u0435 \u043d\u0430\u0443\u043a\u0438,,2310-7235,2072-8514,2072-8514|2310-7235,2024-06-23,Website URL no longer works
\u0412\u0435\u0441\u0442\u043d\u0438\u043a \u043c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0433\u043e\u0441\u0443\u0434\u0430\u0440\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0433\u043e \u043e\u0431\u043b\u0430\u0441\u0442\u043d\u043e\u0433\u043e \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0430. \u0421\u0435\u0440\u0438\u044f: \u0424\u0438\u0437\u0438\u043a\u0430-\u043c\u0430\u0442\u0435\u043c\u0430\u0442\u0438\u043a\u0430,,2310-7251,2072-8387,2072-8387|2310-7251,2024-06-23,Website URL no longer works
\u0412\u0435\u0441\u0442\u043d\u0438\u043a \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0433\u043e\u0441\u0443\u0434\u0430\u0440\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0433\u043e \u043e\u0431\u043b\u0430\u0441\u0442\u043d\u043e\u0433\u043e \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0430: \u0421\u0435\u0440\u0438\u044f: \u0415\u0441\u0442\u0435\u0441\u0442\u0432\u0435\u043d\u043d\u044b\u0435 \u043d\u0430\u0443\u043a\u0438,,2310-7189,2072-8352,2072-8352|2310-7189,2024-06-23,Website URL no longer works
Advances in Scientific and Applied Accounting,,1983-8611,1983-8611,1983-8611,2024-06-23,Website URL no longer works
Macrolinguistics,The Learned Press,1934-5755,1934-5755,1934-5755|2473-6376,2024-06-23,Website URL no longer works
Avances,,1562-3297,1562-3297,1562-3297,2024-06-23,Website URL no longer works
T\u00fcrkiye Din E\u011fitimi Ara\u015ft\u0131rmalar\u0131,,2636-7807,2149-9845,2149-9845|2636-7807,2024-06-19,Journal not adhering to Best practice
"Journal of the Turkish Chemical Society, Section A: Chemistry",Turkish Chemical Society,2149-0120,2149-0120,2149-0120,2024-06-19,Journal not adhering to Best practice
International Journal of Professional Business Review,Tutor Treinamento e Desenvolvimento,2525-3654,2525-3654,2525-3654,2024-06-18,Journal not adhering to Best practice
\u0645\u062c\u0644\u0647 \u0634\u0647\u0631\u0633\u0627\u0632\u06cc \u0648 \u0645\u0647\u0646\u062f\u0633\u06cc,,2709-4650,2709-4642,2709-4642|2709-4650,2024-06-17,Inactive (has not published in the last calendar year)
Webology,University of Tehran Press,1735-188X,1735-188X,1735-188X,2024-06-17,Journal not adhering to Best practice
BJ Kines: National Journal of Basic & Applied Sciences,"B. J. Medical College, Ahmedabad",2395-7859,2231-6140,2231-6140|2395-7859,2024-06-11,Journal not adhering to Best practice
Revista Brasileira de Atividade F\u00edsica e Sa\u00fade,Sociedade Brasileira de Atividade F\u00edsica & Sa\u00fade,1413-3482,1413-3482,1413-3482|2317-1634,2024-06-08,Journal not adhering to Best practice
\u0421\u043e\u0446\u0438\u043e\u043b\u043e\u0433\u0438\u044f \u0432\u043b\u0430\u0441\u0442\u0438,,2074-0492,2074-0492,2074-0492|2413-144X,2024-06-07,Website URL no longer works
Acta Veterinaria Brasilica,Universidade Federal Rural do Semi-\u00c1rido,1981-5484,1981-5484,1981-5484,2024-06-07,Journal not adhering to Best practice
T\u00fcrk Turizm Ara\u015ft\u0131rmalar\u0131 Dergisi,,2587-0890,2587-0890,2587-0890,2024-06-04,Journal not adhering to Best practice
Investigaci\u00f3n Administrativa,National Polytechnic Institute,2448-7678,1870-6614,1870-6614|2448-7678,2024-06-04,Journal not adhering to Best practice
Pesquisa Veterin\u00e1ria Brasileira,Col\u00e9gio Brasileiro de Patologia Animal (CBPA),1678-5150,0100-736X,0100-736X|1678-5150,2024-06-03,Journal not adhering to Best practice
J-TIT (Jurnal Teknologi Informasi dan Terapan),,2580-2291,2354-838X,2354-838X|2580-2291,2024-06-02,Journal not adhering to Best practice
Persona,,2615-5168,2301-5985,2301-5985|2615-5168,2024-06-02,Journal not adhering to Best practice
Journal of Current Biomedical Reports,,2717-1906,2717-1906,2717-1906,2024-05-30,Journal not adhering to Best practice
Management and Economics Research Journal,HATASO,2469-4339,2469-4339,2469-4339,2024-05-29,Journal not adhering to Best practice
Wissen schafft Demokratie,,2512-9716,2512-9732,2512-9716|2512-9732,2024-05-28,Website URL no longer works
Ingenier\u00eda al D\u00eda,,2389-7309,2389-7309,2389-7309,2024-05-28,Website URL no longer works
Journal of management sciences,,2313-0113,2313-0113,2313-0113|2413-8657,2024-05-28,Journal not adhering to Best practice
Journal of Epileptology,Exeley,2300-0147,2300-0147,2299-9728|2300-0147,2024-05-28,Website URL no longer works
The Scottish Journal of Performance,Royal Conservatoire of Scotland,2054-1961,2054-1953,2054-1953|2054-1961,2024-05-28,Website URL no longer works
International Journal of Orientation & Mobility,Exeley Inc,1836-0254,1836-0254,1836-0254,2024-05-28,Website URL no longer works
Australasian Journal of Neuroscience,Exeley Inc,2208-6781,1032-335X,1032-335X|2208-6781,2024-05-28,Website URL no longer works
Revista de la Facultad de Ingenier\u00eda,Universidad de San Buenaventura,0124-7492,0124-7492,0124-7492,2024-05-28,Ceased publishing
Aporte Santiaguino,"Universidad Nacional de Ancash ""Santiago Antunez de Mayolo""",2070-836X,2070-836X,2070-836X|2616-9541,2024-05-27,Journal not adhering to Best practice
Revista (Con)textos Lingu\u00edsticos,Federal University of Esp\u00edrito Santo,1982-291X,1982-291X,1982-291X|2317-3475,2024-05-27,Journal not adhering to Best practice
Cultura Cient\u00edfica,Fundaci\u00f3n Universitaria Juan de Castellanos,1657-463X,1657-463X,1657-463X|2389-9638,2024-05-27,Ceased publishing
Bionatura,Universidad Cat\u00f3lica de Oriente,1390-9347,1390-9347,1390-9347|1390-9355,2024-05-27,Journal not adhering to Best practice
Urolog\u00eda Colombiana,Thieme Medical Publishers (Germany),2027-0119,0120-789X,0120-789X|2027-0119,2024-05-27,Ceased publishing
Journal of Bioresources and Environmental Sciences,,2829-7741,2829-7741,2829-7741|2829-8314,2024-05-26,Journal not adhering to Best practice
Revista Brasileira de Gastronomia,,2595-5373,2595-5373,2595-5373,2024-05-26,Website URL no longer works
Revista Com Censo,,2359-2494,2359-2494,2359-2494,2024-05-26,Website URL no longer works
Revista Brasileira de Sociologia,Sociedade Brasileira de Sociologia,2318-0544,2317-8507,2317-8507|2318-0544,2024-05-26,Website URL no longer works
Educa\u00e7\u00e3o Matem\u00e1tica em Revista,Sociedade Brasileira de Educa\u00e7\u00e3o Matem\u00e1tica,2317-904X,1517-3941,1517-3941|2317-904X,2024-05-26,Website URL no longer works
European Journal of Midwifery,EU European Publishing,2585-2906,2585-2906,2585-2906,2024-05-24,Journal not adhering to Best practice
Tobacco Prevention and Cessation,EU European Publishing,2459-3087,2459-3087,2459-3087,2024-05-24,Journal not adhering to Best practice
JISI UMJ: Jurnal Integrasi Sistem Industri,Muhammadiyah University of Jakarta,2550-083X,2355-2085,2355-2085|2550-083X,2024-05-24,Journal not adhering to Best practice
Toloo-e-behdasht,Shahid Sadoughi University of Medical Sciences,2538-1598,1728-5127,1728-5127|2538-1598,2024-05-24,Journal not adhering to Best practice
Journal of Dinamika Hukum,Jenderal Soedirman University,2407-6562,1410-0797,1410-0797|2407-6562,2024-05-24,Journal not adhering to Best practice
Pneumon,EU European Publishing,1791-4914,1105-848X,1105-848X|1791-4914,2024-05-24,Journal not adhering to Best practice
Revista Nordestina de Hist\u00f3ria do Brasil,,2596-0334,2596-0334,2596-0334|2674-7332,2024-05-23,Website URL no longer works
Revista Brasileira do Ensino M\u00e9dio,,2595-816X,2595-816X,2595-816X,2024-05-23,Ceased publishing
Revista Territorio y Regionalismos,Universidad de Concepci\u00f3n.,2452-5650,2452-5650,2452-5650,2024-05-23,Journal not adhering to Best practice
"InSitu: Revista Cient\u00edfica do Programa de Mestrado Profissional em Projeto, Produ\u00e7\u00e3o e Gest\u00e3o do Espa\u00e7o Urbano",FIAM-FAAM Centro Universit\u00e1rio,2446-9696,2446-9696,2446-9696,2024-05-23,Ceased publishing
